feature,live_val,training_val,diff,status,section,bar_idx,ts
dist_prev_vwap_atr,,-1.5842878111553467,,MISSING_LIVE,ATR-NQ,1354,1776458100000
dist_vwap_w_atr,,-5.70144106647364,,MISSING_LIVE,ATR-NQ,1354,1776458100000
next_wall_dist_atr,,0.552941649575743,,MISSING_LIVE,ATR-NQ,1354,1776458100000
open_gap_atr,,2.941649575742953,,MISSING_LIVE,ATR-NQ,1354,1776458100000
ovn_range_atr,,0.71982949290224,,MISSING_LIVE,ATR-NQ,1354,1776458100000
poc_bar_dist_atr,,0.004021393815096312,,MISSING_LIVE,ATR-NQ,1354,1776458100000
poc_separation_atr,,0.23324084127558614,,MISSING_LIVE,ATR-NQ,1354,1776458100000
range_size_atr,,0.4664816825511723,,MISSING_LIVE,ATR-NQ,1354,1776458100000
sess_range_atr,,4.260666747094543,,MISSING_LIVE,ATR-NQ,1354,1776458100000
swing_range_atr,,0.23324084127558614,,MISSING_LIVE,ATR-NQ,1354,1776458100000
dist_blind_nearest_dn_atr,-0.284717899223871,,,LIVE_ONLY,ATR-NQ,1354,1776458100000
dist_gex_nearest_dn_atr,-0.6534764949531507,,,LIVE_ONLY,ATR-NQ,1354,1776458100000
dist_sess_low_atr,-3.8303776088792376,,,LIVE_ONLY,ATR-NQ,1354,1776458100000
dist_session_hvn_below_atr,0.008042787630192625,,,LIVE_ONLY,ATR-NQ,1354,1776458100000
dist_swing_low_atr,-0.12265251136043753,,,LIVE_ONLY,ATR-NQ,1354,1776458100000
dist_vix_call_atr,0.015120440744762135,,,LIVE_ONLY,ATR-NQ,1354,1776458100000
dist_vix_gex_nearest_dn_atr,-0.004986528330719427,,,LIVE_ONLY,ATR-NQ,1354,1776458100000
dist_vix_gex_nearest_up_atr,4.021393815096313e-05,,,LIVE_ONLY,ATR-NQ,1354,1776458100000
dist_vix_hvl_atr,0.008083001568343587,,,LIVE_ONLY,ATR-NQ,1354,1776458100000
dist_vix_put_atr,-0.0009651345156231149,,,LIVE_ONLY,ATR-NQ,1354,1776458100000
dist_vwap_d_sd2d_atr,-0.6329139019584188,,,LIVE_ONLY,ATR-NQ,1354,1776458100000
dist_vwap_d_sd3d_atr,-0.8286114127156473,,,LIVE_ONLY,ATR-NQ,1354,1776458100000
im_cross_delta_agreement_5,0.8,0.8,0.0,MATCH,IM-NQ,1354,1776458100000
im_open_type_agreement,1.0,1.0,0.0,MATCH,IM-NQ,1354,1776458100000
im_rolling_correlation_10,0.928628,0.928628,1e-08,MATCH,IM-NQ,1354,1776458100000
im_cross_delta_weighted_5,,12.8,,MISSING_LIVE,IM-NQ,1354,1776458100000
im_cross_open_signal,,0.85,,MISSING_LIVE,IM-NQ,1354,1776458100000
im_delta_day_divergence,,1.0,,MISSING_LIVE,IM-NQ,1354,1776458100000
im_ltr_slope_diff,,0.26046,,MISSING_LIVE,IM-NQ,1354,1776458100000
im_price_ratio_slope_10,,5.0899438203261426e-05,,MISSING_LIVE,IM-NQ,1354,1776458100000
im_smt_divergence,,0.0,,MISSING_LIVE,IM-NQ,1354,1776458100000
im_volume_lead,,-19.3,,MISSING_LIVE,IM-NQ,1354,1776458100000
dist_1d_max_atr,2.138575,2.138575,0.0,MATCH,ATR-NQ,814,1776425700000
dist_1d_min_atr,-3.181473,-3.181473,0.0,MATCH,ATR-NQ,814,1776425700000
dist_blind_nearest_up_atr,0.079976,0.079976,0.0,MATCH,ATR-NQ,814,1776425700000
dist_comp_20d_vah_atr,-12.333221,-12.333221,0.0,MATCH,ATR-NQ,814,1776425700000
dist_comp_20d_val_atr,-30.294714,-30.294714,0.0,MATCH,ATR-NQ,814,1776425700000
dist_comp_20d_vwap_atr,-16.470771,-16.470771,0.0,MATCH,ATR-NQ,814,1776425700000
dist_comp_50d_vah_atr,-10.821652,-10.821652,0.0,MATCH,ATR-NQ,814,1776425700000
dist_comp_50d_val_atr,-23.935991,-23.935991,0.0,MATCH,ATR-NQ,814,1776425700000
dist_comp_50d_vwap_atr,-16.363846,-16.363846,0.0,MATCH,ATR-NQ,814,1776425700000
dist_cur_vah_atr,-0.445448,-0.445448,0.0,MATCH,ATR-NQ,814,1776425700000
dist_cur_val_atr,-0.97112,-0.97112,0.0,MATCH,ATR-NQ,814,1776425700000
dist_cur_vpoc_atr,-0.836007,-0.836007,0.0,MATCH,ATR-NQ,814,1776425700000
dist_gex_nearest_up_atr,1.275122,1.275122,0.0,MATCH,ATR-NQ,814,1776425700000
dist_mq_call_0dte_atr,-11.898328,-11.898328,0.0,MATCH,ATR-NQ,814,1776425700000
dist_mq_call_atr,-0.413781,-0.413781,0.0,MATCH,ATR-NQ,814,1776425700000
dist_mq_hvl_atr,-10.63165,-10.63165,0.0,MATCH,ATR-NQ,814,1776425700000
dist_mq_put_0dte_atr,-1.891572,-1.891572,0.0,MATCH,ATR-NQ,814,1776425700000
dist_mq_put_atr,-21.52508,-21.52508,0.0,MATCH,ATR-NQ,814,1776425700000
dist_open_830_atr,-0.432782,-0.432782,0.0,MATCH,ATR-NQ,814,1776425700000
dist_prev_vah_atr,-0.295558,-0.295558,0.0,MATCH,ATR-NQ,814,1776425700000
dist_prev_val_atr,-1.900017,-1.900017,0.0,MATCH,ATR-NQ,814,1776425700000
dist_prev_vwap_sd1d_atr,-2.205108,-2.205108,0.0,MATCH,ATR-NQ,814,1776425700000
dist_prev_vwap_sd1u_atr,-0.6307,-0.6307,0.0,MATCH,ATR-NQ,814,1776425700000
dist_sess_high_atr,0.038,0.038,0.0,MATCH,ATR-NQ,814,1776425700000
dist_session_lvn_above_atr,0.002111,0.002111,0.0,MATCH,ATR-NQ,814,1776425700000
dist_session_lvn_below_atr,0.002111,0.002111,0.0,MATCH,ATR-NQ,814,1776425700000
dist_swing_high_atr,-0.016889,-0.016889,0.0,MATCH,ATR-NQ,814,1776425700000
dist_vwap_d_sd1d_atr,-4.265604,-4.265604,0.0,MATCH,ATR-NQ,814,1776425700000
dist_vwap_d_sd1u_atr,-0.469809,-0.469809,0.0,MATCH,ATR-NQ,814,1776425700000
dist_vwap_d_sd2u_atr,-0.171513,-0.171513,0.0,MATCH,ATR-NQ,814,1776425700000
dist_vwap_d_sd3u_atr,0.1268,0.1268,0.0,MATCH,ATR-NQ,814,1776425700000
dist_comp_20d_vpoc_atr,,-19.8361763215673,,MISSING_LIVE,ATR-NQ,814,1776425700000
dist_comp_50d_vpoc_atr,,-19.8361763215673,,MISSING_LIVE,ATR-NQ,814,1776425700000
dist_cur_vwap_vp_atr,,-3.0724193548387095,,MISSING_LIVE,ATR-NQ,814,1776425700000
dist_ext_edge_buy_atr,,0.00422225975342003,,MISSING_LIVE,ATR-NQ,814,1776425700000
dist_ext_edge_sell_atr,,0.0,,MISSING_LIVE,ATR-NQ,814,1776425700000
dist_ext_long_dn_atr,,-0.06544502617801047,,MISSING_LIVE,ATR-NQ,814,1776425700000
dist_ext_long_up_atr,,-0.0548893767944604,,MISSING_LIVE,ATR-NQ,814,1776425700000
dist_open_cash_atr,,-0.6312278331362945,,MISSING_LIVE,ATR-NQ,814,1776425700000
dist_ovn_high_atr,,-0.17311264989022124,,MISSING_LIVE,ATR-NQ,814,1776425700000
dist_ovn_low_atr,,-1.6382367843269718,,MISSING_LIVE,ATR-NQ,814,1776425700000
dist_prev_vpoc_atr,,-1.5115689917243709,,MISSING_LIVE,ATR-NQ,814,1776425700000
dist_prev_vwap_atr,,-1.418283440297247,,MISSING_LIVE,ATR-NQ,814,1776425700000
dist_vwap_w_atr,,-4.979446250633339,,MISSING_LIVE,ATR-NQ,814,1776425700000
next_wall_dist_atr,,1.2582334065191692,,MISSING_LIVE,ATR-NQ,814,1776425700000
open_gap_atr,,-0.8803411585880764,,MISSING_LIVE,ATR-NQ,814,1776425700000
ovn_range_atr,,1.4651241344367505,,MISSING_LIVE,ATR-NQ,814,1776425700000
poc_bar_dist_atr,,0.010555649383550076,,MISSING_LIVE,ATR-NQ,814,1776425700000
poc_separation_atr,,0.21533524742442156,,MISSING_LIVE,ATR-NQ,814,1776425700000
range_size_atr,,0.5256713393007938,,MISSING_LIVE,ATR-NQ,814,1776425700000
sess_range_atr,,1.676237122107752,,MISSING_LIVE,ATR-NQ,814,1776425700000
swing_range_atr,,0.21322411754771153,,MISSING_LIVE,ATR-NQ,814,1776425700000
dist_blind_nearest_dn_atr,-0.689333305184935,,,LIVE_ONLY,ATR-NQ,814,1776425700000
dist_gex_nearest_dn_atr,-1.2582334065191692,,,LIVE_ONLY,ATR-NQ,814,1776425700000
dist_sess_low_atr,-1.6382367843269718,,,LIVE_ONLY,ATR-NQ,814,1776425700000
dist_session_hvn_below_atr,0.0844451950684006,,,LIVE_ONLY,ATR-NQ,814,1776425700000
dist_swing_low_atr,-0.23011315656139164,,,LIVE_ONLY,ATR-NQ,814,1776425700000
dist_vix_call_atr,0.015031244722175308,,,LIVE_ONLY,ATR-NQ,814,1776425700000
dist_vix_gex_nearest_dn_atr,-0.0008022293531498057,,,LIVE_ONLY,ATR-NQ,814,1776425700000
dist_vix_gex_nearest_up_atr,0.00025333558520520183,,,LIVE_ONLY,ATR-NQ,814,1776425700000
dist_vix_hvl_atr,0.007642290153690255,,,LIVE_ONLY,ATR-NQ,814,1776425700000
dist_vix_put_atr,-0.0018577942915048134,,,LIVE_ONLY,ATR-NQ,814,1776425700000
dist_vwap_d_sd2d_atr,-1.364697052862692,,,LIVE_ONLY,ATR-NQ,814,1776425700000
dist_vwap_d_sd3d_atr,-1.6630096267522378,,,LIVE_ONLY,ATR-NQ,814,1776425700000
im_cross_delta_agreement_5,0.8,0.8,0.0,MATCH,IM-NQ,814,1776425700000
im_open_type_agreement,0.0,0.0,0.0,MATCH,IM-NQ,814,1776425700000
im_rolling_correlation_10,0.937363,0.937363,0.0,MATCH,IM-NQ,814,1776425700000
im_cross_delta_weighted_5,,9.8,,MISSING_LIVE,IM-NQ,814,1776425700000
im_cross_open_signal,,0.0,,MISSING_LIVE,IM-NQ,814,1776425700000
im_delta_day_divergence,,0.0,,MISSING_LIVE,IM-NQ,814,1776425700000
im_ltr_slope_diff,,-0.1152,,MISSING_LIVE,IM-NQ,814,1776425700000
im_price_ratio_slope_10,,-5.1188081800549155e-05,,MISSING_LIVE,IM-NQ,814,1776425700000
im_smt_divergence,,0.0,,MISSING_LIVE,IM-NQ,814,1776425700000
im_volume_lead,,52.199999999999996,,MISSING_LIVE,IM-NQ,814,1776425700000
dist_1d_max_atr,2.212258,2.212258,0.0,MATCH,ATR-NQ,725,1776420359000
dist_1d_min_atr,-3.117465,-3.117465,0.0,MATCH,ATR-NQ,725,1776420359000
dist_blind_nearest_up_atr,0.149915,0.149915,0.0,MATCH,ATR-NQ,725,1776420359000
dist_comp_20d_vah_atr,-12.292204,-12.292204,0.0,MATCH,ATR-NQ,725,1776420359000
dist_comp_20d_val_atr,-30.280022,-30.280022,0.0,MATCH,ATR-NQ,725,1776420359000
dist_comp_20d_vwap_atr,-16.444683,-16.444683,0.0,MATCH,ATR-NQ,725,1776420359000
dist_comp_50d_vah_atr,-10.782116,-10.782116,0.0,MATCH,ATR-NQ,725,1776420359000
dist_comp_50d_val_atr,-23.909733,-23.909733,0.0,MATCH,ATR-NQ,725,1776420359000
dist_comp_50d_vwap_atr,-16.334853,-16.334853,0.0,MATCH,ATR-NQ,725,1776420359000
dist_cur_vah_atr,-0.37858,-0.37858,0.0,MATCH,ATR-NQ,725,1776420359000
dist_cur_val_atr,-0.873483,-0.873483,0.0,MATCH,ATR-NQ,725,1776420359000
dist_cur_vpoc_atr,-0.767734,-0.767734,0.0,MATCH,ATR-NQ,725,1776420359000
dist_gex_nearest_up_atr,1.347236,1.347236,0.0,MATCH,ATR-NQ,725,1776420359000
dist_mq_call_0dte_atr,-11.850176,-11.850176,0.0,MATCH,ATR-NQ,725,1776420359000
dist_mq_call_atr,-0.34474,-0.34474,0.0,MATCH,ATR-NQ,725,1776420359000
dist_mq_hvl_atr,-10.581194,-10.581194,0.0,MATCH,ATR-NQ,725,1776420359000
dist_mq_put_0dte_atr,-1.825219,-1.825219,0.0,MATCH,ATR-NQ,725,1776420359000
dist_mq_put_atr,-21.494438,-21.494438,0.0,MATCH,ATR-NQ,725,1776420359000
dist_open_830_atr,-0.363775,-0.363775,0.0,MATCH,ATR-NQ,725,1776420359000
dist_prev_vah_atr,-0.226302,-0.226302,0.0,MATCH,ATR-NQ,725,1776420359000
dist_prev_val_atr,-1.833679,-1.833679,0.0,MATCH,ATR-NQ,725,1776420359000
dist_prev_vwap_sd1d_atr,-2.139325,-2.139325,0.0,MATCH,ATR-NQ,725,1776420359000
dist_prev_vwap_sd1u_atr,-0.562053,-0.562053,0.0,MATCH,ATR-NQ,725,1776420359000
dist_sess_high_atr,0.006345,0.006345,0.0,MATCH,ATR-NQ,725,1776420359000
dist_session_lvn_above_atr,0.00423,0.00423,0.0,MATCH,ATR-NQ,725,1776420359000
dist_session_lvn_below_atr,0.002115,0.002115,0.0,MATCH,ATR-NQ,725,1776420359000
dist_swing_high_atr,-0.103634,-0.103634,0.0,MATCH,ATR-NQ,725,1776420359000
dist_vwap_d_sd1d_atr,-4.003175,-4.003175,0.0,MATCH,ATR-NQ,725,1776420359000
dist_vwap_d_sd1u_atr,-0.441913,-0.441913,0.0,MATCH,ATR-NQ,725,1776420359000
dist_vwap_d_sd2u_atr,-0.162473,-0.162473,0.0,MATCH,ATR-NQ,725,1776420359000
dist_vwap_d_sd3u_atr,0.116968,0.116968,0.0,MATCH,ATR-NQ,725,1776420359000
dist_comp_20d_vpoc_atr,,-19.802461824795905,,MISSING_LIVE,ATR-NQ,725,1776420359000
dist_comp_50d_vpoc_atr,,-19.802461824795905,,MISSING_LIVE,ATR-NQ,725,1776420359000
dist_cur_vwap_vp_atr,,-2.8854134765872845,,MISSING_LIVE,ATR-NQ,725,1776420359000
dist_ext_edge_buy_atr,,0.00211496975593249,,MISSING_LIVE,ATR-NQ,725,1776420359000
dist_ext_edge_sell_atr,,-0.006344909267797471,,MISSING_LIVE,ATR-NQ,725,1776420359000
dist_ext_long_dn_atr,,0.00422993951186498,,MISSING_LIVE,ATR-NQ,725,1776420359000
dist_ext_long_up_atr,,0.014804788291527432,,MISSING_LIVE,ATR-NQ,725,1776420359000
dist_open_cash_atr,,-0.5625819550780424,,MISSING_LIVE,ATR-NQ,725,1776420359000
dist_ovn_high_atr,,-0.10363351804069201,,MISSING_LIVE,ATR-NQ,725,1776420359000
dist_ovn_low_atr,,-1.5714225286578403,,MISSING_LIVE,ATR-NQ,725,1776420359000
dist_prev_vpoc_atr,,-1.4445243433018908,,MISSING_LIVE,ATR-NQ,725,1776420359000
dist_prev_vwap_atr,,-1.3510691172116238,,MISSING_LIVE,ATR-NQ,725,1776420359000
dist_vwap_w_atr,,-4.938008332980838,,MISSING_LIVE,ATR-NQ,725,1776420359000
next_wall_dist_atr,,1.190727972589992,,MISSING_LIVE,ATR-NQ,725,1776420359000
open_gap_atr,,-0.8819423882238484,,MISSING_LIVE,ATR-NQ,725,1776420359000
ovn_range_atr,,1.4677890106171483,,MISSING_LIVE,ATR-NQ,725,1776420359000
poc_bar_dist_atr,,0.006344909267797471,,MISSING_LIVE,ATR-NQ,725,1776420359000
poc_separation_atr,,0.215726915105114,,MISSING_LIVE,ATR-NQ,725,1776420359000
range_size_atr,,0.4949029228882027,,MISSING_LIVE,ATR-NQ,725,1776420359000
sess_range_atr,,1.5777674379256377,,MISSING_LIVE,ATR-NQ,725,1776420359000
swing_range_atr,,0.16708261071866673,,MISSING_LIVE,ATR-NQ,725,1776420359000
dist_blind_nearest_dn_atr,-0.6207931136584747,,,LIVE_ONLY,ATR-NQ,725,1776420359000
dist_gex_nearest_dn_atr,-1.190727972589992,,,LIVE_ONLY,ATR-NQ,725,1776420359000
dist_sess_low_atr,-1.5714225286578403,,,LIVE_ONLY,ATR-NQ,725,1776420359000
dist_session_hvn_below_atr,0.3891544350915782,,,LIVE_ONLY,ATR-NQ,725,1776420359000
dist_swing_low_atr,-0.27071612875935874,,,LIVE_ONLY,ATR-NQ,725,1776420359000
dist_vix_call_atr,0.014720189501290133,,,LIVE_ONLY,ATR-NQ,725,1776420359000
dist_vix_gex_nearest_dn_atr,-8.459879023729961e-05,,,LIVE_ONLY,ATR-NQ,725,1776420359000
dist_vix_gex_nearest_up_atr,0.0020303709656951906,,,LIVE_ONLY,ATR-NQ,725,1776420359000
dist_vix_hvl_atr,0.007317795355526416,,,LIVE_ONLY,ATR-NQ,725,1776420359000
dist_vix_put_atr,-0.00219956854616979,,,LIVE_ONLY,ATR-NQ,725,1776420359000
dist_vwap_d_sd2d_atr,-1.2802341271519817,,,LIVE_ONLY,ATR-NQ,725,1776420359000
dist_vwap_d_sd3d_atr,-1.559674506154562,,,LIVE_ONLY,ATR-NQ,725,1776420359000
im_cross_delta_agreement_5,0.8,0.8,0.0,MATCH,IM-NQ,725,1776420359000
im_open_type_agreement,0.0,0.0,0.0,MATCH,IM-NQ,725,1776420359000
im_rolling_correlation_10,0.931419,0.931419,0.0,MATCH,IM-NQ,725,1776420359000
im_cross_delta_weighted_5,,14.0,,MISSING_LIVE,IM-NQ,725,1776420359000
im_cross_open_signal,,0.0,,MISSING_LIVE,IM-NQ,725,1776420359000
im_delta_day_divergence,,0.0,,MISSING_LIVE,IM-NQ,725,1776420359000
im_ltr_slope_diff,,-0.04618000000000003,,MISSING_LIVE,IM-NQ,725,1776420359000
im_price_ratio_slope_10,,-4.150424380318702e-05,,MISSING_LIVE,IM-NQ,725,1776420359000
im_smt_divergence,,0.0,,MISSING_LIVE,IM-NQ,725,1776420359000
im_volume_lead,,0.10000000000000142,,MISSING_LIVE,IM-NQ,725,1776420359000
dist_1d_max_atr,0.513653,0.513653,0.0,MATCH,ATR-NQ,981,1776435720000
dist_1d_min_atr,-4.602578,-4.602578,0.0,MATCH,ATR-NQ,981,1776435720000
dist_blind_nearest_up_atr,0.461676,0.461676,0.0,MATCH,ATR-NQ,981,1776435720000
dist_comp_20d_vah_atr,-13.186479,-13.186479,0.0,MATCH,ATR-NQ,981,1776435720000
dist_comp_20d_val_atr,-30.677089,-30.677089,0.0,MATCH,ATR-NQ,981,1776435720000
dist_comp_20d_vwap_atr,-17.08824,-17.08824,0.0,MATCH,ATR-NQ,981,1776435720000
dist_comp_50d_vah_atr,-11.769364,-11.769364,0.0,MATCH,ATR-NQ,981,1776435720000
dist_comp_50d_val_atr,-24.561973,-24.561973,0.0,MATCH,ATR-NQ,981,1776435720000
dist_comp_50d_vwap_atr,-17.042448,-17.042448,0.0,MATCH,ATR-NQ,981,1776435720000
dist_cur_vah_atr,-0.430413,-0.430413,0.0,MATCH,ATR-NQ,981,1776435720000
dist_cur_val_atr,-3.108314,-3.108314,0.0,MATCH,ATR-NQ,981,1776435720000
dist_cur_vpoc_atr,-2.34697,-2.34697,0.0,MATCH,ATR-NQ,981,1776435720000
dist_gex_nearest_up_atr,0.089331,0.089331,0.0,MATCH,ATR-NQ,981,1776435720000
dist_ib_high_atr,0.300477,0.300477,0.0,MATCH,ATR-NQ,981,1776435720000
dist_ib_low_atr,-0.88925,-0.88925,0.0,MATCH,ATR-NQ,981,1776435720000
dist_mq_call_0dte_atr,-12.985484,-12.985484,0.0,MATCH,ATR-NQ,981,1776435720000
dist_mq_call_atr,-1.94092,-1.94092,0.0,MATCH,ATR-NQ,981,1776435720000
dist_mq_hvl_atr,-11.767333,-11.767333,0.0,MATCH,ATR-NQ,981,1776435720000
dist_mq_put_0dte_atr,-3.362095,-3.362095,0.0,MATCH,ATR-NQ,981,1776435720000
dist_mq_put_atr,-22.243427,-22.243427,0.0,MATCH,ATR-NQ,981,1776435720000
dist_open_830_atr,-1.959192,-1.959192,0.0,MATCH,ATR-NQ,981,1776435720000
dist_prev_vah_atr,-1.827226,-1.827226,0.0,MATCH,ATR-NQ,981,1776435720000
dist_prev_val_atr,-3.370216,-3.370216,0.0,MATCH,ATR-NQ,981,1776435720000
dist_prev_vwap_sd1d_atr,-3.663619,-3.663619,0.0,MATCH,ATR-NQ,981,1776435720000
dist_prev_vwap_sd1u_atr,-2.149528,-2.149528,0.0,MATCH,ATR-NQ,981,1776435720000
dist_sess_high_atr,0.639529,0.639529,0.0,MATCH,ATR-NQ,981,1776435720000
dist_session_hvn_above_atr,0.030454,0.030454,0.0,MATCH,ATR-NQ,981,1776435720000
dist_session_lvn_above_atr,0.298447,0.298447,0.0,MATCH,ATR-NQ,981,1776435720000
dist_session_lvn_below_atr,0.623287,0.623287,0.0,MATCH,ATR-NQ,981,1776435720000
dist_swing_high_atr,0.300477,0.300477,0.0,MATCH,ATR-NQ,981,1776435720000
dist_vwap_d_sd1d_atr,-10.196617,-10.196617,0.0,MATCH,ATR-NQ,981,1776435720000
dist_vwap_d_sd1u_atr,-0.362669,-0.362669,0.0,MATCH,ATR-NQ,981,1776435720000
dist_vwap_d_sd2u_atr,0.730573,0.730573,0.0,MATCH,ATR-NQ,981,1776435720000
dist_vwap_d_sd3u_atr,1.823815,1.823815,0.0,MATCH,ATR-NQ,981,1776435720000
dist_comp_20d_vpoc_atr,,-20.619226474469595,,MISSING_LIVE,ATR-NQ,981,1776435720000
dist_comp_50d_vpoc_atr,,-20.619226474469595,,MISSING_LIVE,ATR-NQ,981,1776435720000
dist_cur_vwap_vp_atr,,-5.823584204649274,,MISSING_LIVE,ATR-NQ,981,1776435720000
dist_ext_edge_buy_atr,,0.0,,MISSING_LIVE,ATR-NQ,981,1776435720000
dist_ext_edge_sell_atr,,0.004060501471931784,,MISSING_LIVE,ATR-NQ,981,1776435720000
dist_ext_long_dn_atr,,-0.03248401177545427,,MISSING_LIVE,ATR-NQ,981,1776435720000
dist_ext_long_up_atr,,0.020302507359658918,,MISSING_LIVE,ATR-NQ,981,1776435720000
dist_open_cash_atr,,-0.412140899401076,,MISSING_LIVE,ATR-NQ,981,1776435720000
dist_ovn_high_atr,,-1.7094711196832808,,MISSING_LIVE,ATR-NQ,981,1776435720000
dist_ovn_low_atr,,-3.1184651304436097,,MISSING_LIVE,ATR-NQ,981,1776435720000
dist_prev_vpoc_atr,,-2.996650086285656,,MISSING_LIVE,ATR-NQ,981,1776435720000
dist_prev_vwap_atr,,-2.9069383818901633,,MISSING_LIVE,ATR-NQ,981,1776435720000
dist_vwap_w_atr,,-5.868170135011674,,MISSING_LIVE,ATR-NQ,981,1776435720000
next_wall_dist_atr,,0.08933103238249923,,MISSING_LIVE,ATR-NQ,981,1776435720000
open_gap_atr,,-2.58450918688458,,MISSING_LIVE,ATR-NQ,981,1776435720000
ovn_range_atr,,1.408994010760329,,MISSING_LIVE,ATR-NQ,981,1776435720000
poc_bar_dist_atr,,0.05075626839914729,,MISSING_LIVE,ATR-NQ,981,1776435720000
poc_separation_atr,,0.20708557506852096,,MISSING_LIVE,ATR-NQ,981,1776435720000
range_size_atr,,2.6779007207390113,,MISSING_LIVE,ATR-NQ,981,1776435720000
sess_range_atr,,3.7579941122728657,,MISSING_LIVE,ATR-NQ,981,1776435720000
swing_range_atr,,1.1673941731803879,,MISSING_LIVE,ATR-NQ,981,1776435720000
dist_blind_nearest_dn_atr,-1.466078976753629,,,LIVE_ONLY,ATR-NQ,981,1776435720000
dist_gex_nearest_dn_atr,-0.3167191148106791,,,LIVE_ONLY,ATR-NQ,981,1776435720000
